maxRatio,minTrainLoss,minEvalLoss,modelIndex,slug,freqs,freqs_neurons,non_freqs
1516409.8922309869,1.9338896180425037e-7,0.0000016811518704488853,77,2023_07_20_20_27_36_735932,8 7 5,7 8 8,1
1524151.139001877,1.7014361258428638e-7,7.809307614749322e-7,78,2023_07_20_20_27_37_019310,2 24 26,10 7 7,0
1462063.0764396728,1.738733645288467e-7,0.0000018398098154513755,79,2023_07_20_20_27_37_060953,6 23 0,9 8 7,0
1517497.5858870563,1.8491686329805646e-7,0.000001123593775359922,80,2023_07_20_20_27_37_154409,19 29 23,6 9 8,1
1500042.7245757463,2.0311096378952777e-7,0.0000017950664391669118,81,2023_07_20_20_27_37_199344,8 19 21,6 6 10,2
1490328.7150481257,1.785873211015367e-7,0.0000015928671186706874,82,2023_07_20_20_27_37_424333,6 29 15 17,5 5 6 7,1
1547289.3142329631,1.7947863322806424e-7,6.905758564002705e-7,83,2023_07_20_20_27_37_606278,28 20 25,7 6 9,2
1485620.3081479506,2.1021433511814784e-7,0.00007960656725804763,84,2023_07_20_20_27_38_074315,21 16 10 9,6 6 2 10,0
1511570.7492440117,1.7935060801317124e-7,0.0000020737842049848853,85,2023_07_20_20_27_38_107640,19 13 1 0,6 6 6 5,1
1380205.198344508,1.8257102348878487e-7,0.000002694986222794227,86,2023_07_20_20_27_38_322046,21 6 13 4,6 5 5 7,1
1417616.2438384488,1.8077798176274895e-7,0.0000016825707490058338,87,2023_07_20_20_27_38_373690,3 2 22,6 6 6,6
1496922.440170469,1.7405910164194886e-7,0.0000024133259294768675,88,2023_07_20_20_27_38_426244,24 28 27 7,5 6 7 5,1
1433381.4230092505,1.7904195750259608e-7,9.95761281727709e-7,89,2023_07_20_20_27_38_544441,11 20 6,9 9 5,1
1466047.6317862687,1.8127894721529803e-7,0.000001727040502890594,90,2023_07_20_20_27_38_863052,18 24 23 16,6 5 5 7,1
1428849.0737587737,1.8240124089419565e-7,0.00004056920183024766,91,2023_07_20_20_27_39_086793,2 26 5 18 3,5 3 5 5 5,1
1421127.0666654971,1.8485164441666784e-7,9.188991478520059e-7,92,2023_07_20_20_27_39_383126,25 7 29,6 10 8,0
1334987.9331368073,1.8223690846508406e-7,0.000001919127849775569,93,2023_07_20_20_27_39_703070,2 3 26 31,6 6 6 5,1
1559346.5163615437,2.224552899332942e-7,0.000014857788506363173,94,2023_07_20_20_27_40_400320,21 15 4,6 7 5,6
1175227.123414939,1.7700952364528988e-7,8.429318568368957e-7,95,2023_07_20_20_27_40_427924,13 8 25,9 6 9,0
1407386.8963713185,1.7903530868846872e-7,0.000002226411145776694,96,2023_07_20_20_27_41_197414,12 7 8 25,5 6 5 7,1
